POS,PLAYER,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s
1,Virat Kohli,252,244,37,8004,113,38.67,6065,131.97,8,55,705,272
2,Shikhar Dhawan,222,214,29,6769,106*,35.26,5324,127.14,2,51,768,152
3,Rohit Sharma,257,238,29,6628,109*,29.72,5054,131.14,2,43,599,280
4,David Warner,184,180,22,6565,126,40.52,4697,139.77,4,62,663,236
5,Suresh Raina,193,189,28,5368,100*,33.34,3914,137.14,1,38,493,194
6,MS Dhoni,264,204,95,5243,84*,39.13,3812,137.54,0,24,363,252
7,AB de Villiers,184,170,40,5162,133*,39.7,3403,151.7,3,40,413,251
8,Robin Uthappa,205,177,17,4952,88,27.51,3799,130.35,0,27,481,182
9,Dinesh Karthik,257,163,50,4842,97*,26.32,3577,135.36,0,22,466,161
10,KL Rahul,132,123,20,4683,132*,45.47,1479,134.61,4,37,400,187
11,Ajinkya Rahane,185,179,17,4642,105*,30.14,3761,123.42,2,30,404,103
12,Faf du Plessis,145,138,11,4571,96,36,3352,136.4,0,37,421,166
13,Chris Gayle,125,124,15,4484,175*,41.13,2969,151.02,6,28,369,326
14,Sanju Samson,168,162,19,4419,119,30.69,3180,138.96,3,25,352,206
15,Ambati Rayudu,204,187,33,4348,100*,28.2,3409,127.5,1,22,359,173
16,Gautam Gambhir,154,152,17,4217,93,31.23,3404,123.88,0,36,491,59
17,Shane Watson,145,141,16,3874,117*,31,2809,137.9,4,21,375,190
18,Manish Pandey,172,159,27,3850,114*,29.2,3179,121.1,1,22,335,110
19,Suryakumar Yadav,150,136,23,3594,103*,32.28,2473,145.33,2,24,385,130
20,Jos Buttler,107,100,12,3582,124*,38.11,2428,147.53,7,19,355,161
21,Kieron Pollard,189,171,52,3412,87*,28.7,2316,147.3,0,16,218,223
22,Rishabh Pant,111,110,17,3284,128*,35.31,2205,148.93,1,18,296,154
23,Shubman Gill,103,101,15,3216,129,37.84,2370,135.7,4,20,310,95
24,Yusuf Pathan,174,154,44,3204,100,29.12,2241,142.97,1,13,262,158
25,Quinton de Kock,107,105,6,3157,140*,31.26,2352,134.23,2,23,316,123
26,Shreyas Iyer,116,115,18,3127,96,32.24,2453,127.48,0,21,271,113
27,Ravindra Jadeja,240,128,76,2959,62*,27.4,2281,129.72,0,3,215,107
28,Wriddhiman Saha,170,145,24,2934,115*,24.2,2300,127.6,1,13,296,87
29,David Miller,130,77,43,2924,101*,36.55,2100,139.24,1,13,207,134
30,Brendon McCullum,109,109,5,2880,158*,27.69,2186,131.74,2,13,293,130
31,Parthiv Patel,139,137,11,2848,81,22.6,2358,120.78,0,13,365,49
32,Glenn Maxwell,134,129,17,2771,95,24.74,1768,156.73,0,18,232,160
33,Yuvraj Singh,132,126,15,2750,83,24.77,2120,129.71,0,13,217,149
34,Virender Sehwag,104,104,5,2728,122,27.55,1755,155.44,2,16,334,106
35,Mayank Agarwal,127,121,4,2661,106,22.7,2000,133.1,1,13,263,98
36,Ishan Kishan,60,58,6,2644,99,28.43,1946,135.87,0,16,255,119
37,Nitish Rana,107,98,9,2636,87,28.65,1952,135.04,0,18,234,132
38,Murali Vijay,103,103,5,2587,127,26.39,2106,122.83,2,13,243,91
39,Hardik Pandya,137,128,40,2525,91,28.69,1734,145.62,0,10,189,136
40,Steve Smith,95,88,21,2485,101*,34.51,1940,128.09,1,11,225,60
41,Andre Russell,107,105,20,2484,88*,29.2,1420,174.9,0,11,170,209
42,Shaun Marsh,71,69,7,2477,115,39.95,1866,132.74,1,20,266,78
43,Jacques Kallis,98,96,11,2427,89*,28.55,2222,109.22,0,17,255,44
44,Dwayne Smith,91,89,5,2385,87*,28.39,1764,135.2,0,17,245,117
45,Sachin Tendulkar,78,78,11,2334,100*,34.83,1948,119.81,1,13,295,29
46,Rahul Tripathi,95,93,11,2236,93,27.3,1605,139.3,0,12,223,84
47,Rahul Dravid,89,82,5,2174,75*,28.23,1882,115.51,0,11,269,28
48,Kane Williamson,79,41,17,2128,89,35.47,1694,125.62,0,18,186,64
49,Aaron Finch,92,73,7,2091,88*,2519,1631,128.2,0,15,214,78
50,Adam Gilchrist,80,80,4,2069,109*,27.22,1495,138.39,2,11,239,92
51,JP Duminy,83,77,26,2029,78*,39.78,1636,124.02,0,14,126,79
52,Michael Hussey,59,58,7,1977,116*,38.76,1612,122.64,1,15,198,52
53,Mahela Jayawardene,80,78,15,1802,110*,28.6,1462,123.25,1,10,200,39
54,Mandeep Singh,111,98,16,1706,77*,20.8,1388,122.9,0,6,176,38
55,Manoj Tiwary,98,85,26,1695,75*,28.72,1449,116.97,0,7,156,40
56,Kumar Sangakkara,71,68,3,1687,94,25.95,1392,121.19,0,10,195,27
57,Axar Patel,150,63,36,1653,66,21.47,1263,130.88,0,3,107,79
58,Krunal Pandya,127,48,38,1647,86,22.56,1240,132.82,0,1,144,61
59,Dwayne Bravo,161,113,44,1560,70*,22.6,1204,129.6,0,5,120,66
60,Naman Ojha,113,94,19,1554,94*,20.72,1313,118.35,0,6,121,79
61,Sunil Narine,177,110,20,1534,109,17,925,165.8,1,7,164,97
62,Saurabh Tiwary,93,74,22,1494,61,28.7,1244,120.1,0,8,111,50
63,Karun Nair,73,63,5,1480,83*,24.26,1153,128.36,0,10,160,39
64,Subramaniam Badrinath,95,67,20,1441,71*,30.65,1212,118.89,0,11,154,28
65,Eoin Morgan,83,45,13,1405,68,22.66,1146,122.6,0,5,112,64
66,Brad Hodge,66,63,21,1400,73,33.33,1118,125.22,0,6,122,43
67,Sourav Ganguly,59,56,3,1349,91,25.45,1263,106.8,0,7,137,42
68,Chris Lynn,42,41,3,1329,93,34.08,945,140.63,0,10,132,66
69,David Hussey,64,61,12,1322,71,26.97,1075,122.97,0,5,90,60
70,Kedar Jadhav,95,70,26,1196,69,22.15,971,123.17,0,4,101,40
71,Tillakaratne Dilshan,52,50,7,1153,76*,26.81,1007,114.49,0,9,140,24
72,Irfan Pathan,103,82,29,1139,60,21.49,946,120.4,0,1,87,37
73,Matthew Hayden,32,32,2,1107,93,36.9,805,137.51,0,8,121,44
74,Lendl Simmons,29,29,2,1079,100*,39.96,852,126.64,1,11,109,44
75,Ross Taylor,55,54,14,1017,81*,25.42,822,123.72,0,3,66,46
76,Manan Vohra,53,45,2,1012,95,23.53,768,131.77,0,3,97,39
77,Kevin Pietersen,36,36,9,1001,103*,37.07,743,134.72,1,4,91,40
78,Venugopal Rao,65,54,10,985,71*,22.38,836,117.82,0,3,77,37
79,Andrew Symonds,39,36,9,974,117*,36.07,750,129.86,1,5,74,41
80,Albie Morkel,91,68,28,974,73*,24.35,686,141.98,0,3,61,55
81,Moises Henriques,57,50,16,969,74*,28.5,756,128.17,0,5,87,27
82,Cameron White,47,45,9,954,78,26.5,755,126.35,0,6,76,36
83,Herschelle Gibbs,36,36,4,886,69*,27.68,807,109.78,0,6,83,31
84,Stuart Binny,95,68,23,880,48*,19.55,683,128.84,0,0,66,35
85,Harbhajan Singh,160,88,35,829,64,15.64,600,138.16,0,1,79,42
86,Sanath Jayasuriya,30,30,2,772,114*,27.57,532,145.11,1,4,85,39
87,Shakib Al Hasan,63,46,11,746,66*,21.31,589,126.65,0,2,70,20
88,Graeme Smith,29,29,3,739,91,28.42,668,110.62,0,4,94,9
89,Angelo Mathews,49,42,11,724,65*,23.35,575,125.91,0,1,44,29
90,Tirumalasetti Suman,43,40,8,676,78*,21.12,575,117.56,0,2,55,26
91,Abhishek Nayar,60,50,12,672,45*,17.68,577,116.46,0,0,55,20
92,George Bailey,40,37,10,663,61*,24.55,544,121.87,0,2,59,19
93,Ben Stokes,34,33,5,635,103*,22.67,481,132.01,1,1,43,25
94,Jesse Ryder,29,29,1,604,86,21.57,458,131.87,0,4,69,19
95,Prithvi Shaw,25,25,0,598,99,23.92,424,141.03,0,4,72,19
96,Piyush Chawla,157,81,32,584,24*,11.91,524,111.45,0,0,54,18
97,Hashim Amla,16,16,3,577,104*,44.38,407,141.76,2,3,60,21
98,Vijay Shankar,33,29,11,557,63*,30.94,416,133.89,0,2,34,24
99,Corey Anderson,30,29,7,538,95*,24.45,423,127.18,0,3,40,31
100,Ravi Bopara,24,22,4,531,84,29.5,453,117.21,0,3,39,16
